t,q0,q1,q2,q3,q4,q5,do
5945.706999999999,3.337860107421875e-06,-1.5707585276434948,-1.5708271265029907,-1.5709005794920863,1.5708262920379639,4.186224759905599e-05,768
5945.710999999999,-2.0329152242481996e-05,-1.5707746772898936,-1.5708515644073486,-1.5708686314024867,1.5707979202270508,3.792456118389964e-05,768
5945.715,-2.462068666631012e-05,-1.5708190403380335,-1.5708355903625488,-1.570892950097555,1.5708305835723877,6.198883056640625e-06,768
5945.719,-4.8939381734669496e-05,-1.5708071194090785,-1.5707871913909912,-1.5708242855467738,1.5707658529281616,-3.797212709599762e-05,768
5945.723,-7.788287561538709e-07,-1.5707626453698431,-1.5707831382751465,-1.5708767376341761,1.5707658529281616,-2.2236500875294496e-05,768
5945.727,-5.704561342412262e-05,-1.5708548031248988,-1.5708190202713013,-1.5708934269347132,1.5708101987838745,3.399038178031333e-05,768
5945.731,-2.0329152242481996e-05,-1.5707985363402308,-1.570807695388794,-1.5708643398680628,1.5708019733428955,-2.9865895406544496e-05,768
5945.735,-5.323091615849762e-05,-1.5707829330015848,-1.5708036422729492,-1.570836683312887,1.5708227157592773,-1.732503072560121e-06,768
5945.739,7.62939453125e-06,-1.5708147488036097,-1.5708034038543701,-1.5708047352232875,1.5708428621292114,1.430511474609375e-05,768
5945.7429999999995,2.7475831302581355e-05,-1.570774673466378,-1.5708436965942383,-1.5708404980101527,1.5707900524139404,-4.178682436162262e-05,768
5945.746999999999,-3.2726918355763246e-05,-1.570794973140739,-1.570831298828125,-1.5708362064757289,1.5707776546478271,6.198883056640625e-06,768
5945.750999999999,-2.462068666631012e-05,-1.5707867548856775,-1.5708190202713013,-1.5708486042418421,1.5708701610565186,-2.175966371709137e-05,768
5945.755,-1.699129213506012e-05,-1.5708228550352992,-1.570807695388794,-1.570831914941305,1.5708186626434326,1.3983250028104521e-05,768
5945.759,7.62939453125e-06,-1.570810934106344,-1.5708355903625488,-1.5708724460997523,1.5708346366882324,-5.547200338185121e-06,768
5945.763,-1.6514454976856996e-05,-1.5707626289298169,-1.5707757472991943,-1.5708362064757289,1.570793628692627,1.0013580322265625e-05,768
5945.767,-1.699129213506012e-05,-1.5708028278746546,-1.5708190202713013,-1.5708557567992152,1.5707659721374512,-2.6051198140919496e-05,768
5945.771,-2.8912221090138246e-05,-1.5707867256463324,-1.570831537246704,-1.5707958501628418,1.570781946182251,-4.560152162724762e-05,768
5945.775,-1.6514454976856996e-05,-1.5707949610994838,-1.5707952976226807,-1.570852895776266,1.5707658529281616,1.803231134545058e-05,768
5945.7789999999995,-2.462068666631012e-05,-1.5708347759642542,-1.570831298828125,-1.5708290539183558,1.5707859992980957,2.9921833629487082e-05,768
5945.782999999999,3.337860107421875e-06,-1.5707826486889935,-1.5707995891571045,-1.5708810291686,1.5707539319992065,-5.547200338185121e-06,768
5945.786999999999,-5.704561342412262e-05,-1.5708028278746546,-1.5708311796188354,-1.5708767376341761,1.5708346366882324,-4.560152162724762e-05,768
5945.791,-5.704561342412262e-05,-1.570786713605532,-1.5708231925964355,-1.5708724460997523,1.570810317993164,-5.547200338185121e-06,768
5945.795,-3.0199159795074593e-07,-1.5707985363402308,-1.5708231925964355,-1.5708848438658656,1.5707581043243408,4.1739178413990885e-05,768
5945.799,-1.6514454976856996e-05,-1.5707908351540318,-1.5708355903625488,-1.5708643398680628,1.5707859992980957,6.198883056640625e-06,768
5945.803,-5.323091615849762e-05,-1.5708147488036097,-1.5708396434783936,-1.5708443127074183,1.5707776546478271,2.384185791015625e-06,768
5945.807,-4.116688863575746e-06,-1.570758503560075,-1.5708396434783936,-1.5708643398680628,1.5708019733428955,-1.732503072560121e-06,768
5945.811,-1.6514454976856996e-05,-1.5707867174272288,-1.570807695388794,-1.5708404980101527,1.570757508277893,-1.732503072560121e-06,768
5945.815,-2.8912221090138246e-05,-1.570774673466378,-1.5708396434783936,-1.5708767376341761,1.5707859992980957,3.790053597185761e-05,768
