t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
11497.190999999999,-0.33697283598586125, -1.9322059027668521, -1.5646511637831653, -1.089552809272293, 1.6389046291764202, 1.776182577134224,-0.7018480178532244, 0.2840086099519339, -0.5131790357987026, 0.31686181482379766, -0.03148961936579079, 0.24900349536532854,1.0,-8732.248928169836, -2829.200810918098, 21513.624455280573, -76.64835100471481, 220.6723631985123, 37.924860858432424,1.0,769
11497.198999999999,-0.3397415515046527, -1.9310936752582695, -1.5666630921416056, -1.0883078033677762, 1.6387811149057048, 1.7771608960742158,-0.7058825985185943, 0.2814869688038902, -0.5097601684813193, 0.31614901339010876, -0.031309501053319866, 0.24841282295482436,1.0,-8731.493941578203, -2829.2264281465878, 21513.596798182232, -76.64073055249511, 220.72895006845016, 37.922977641665,1.0,769
11497.207,-0.3425161524575744, -1.9299953765577316, -1.568654342561822, -1.0870700633117254, 1.6386587550919065, 1.7781333839873672,-0.7099111809215003, 0.27893387631243055, -0.5063047240847265, 0.3154296475565449, -0.0311262744200145, 0.24781611469098463,1.0,-8730.446628425518, -2830.17328707821, 21513.85527439665, -76.62473094660851, 220.75978771131054, 37.92270779314677,1.0,769
11497.215,-0.3452966089874785, -1.9289110158151068, -1.570624945649687, -1.0858395467873763, 1.6385375519883774, 1.7791000720153876,-0.7139330898830586, 0.27634927052388275, -0.5028125595809502, 0.3147035970108014, -0.030939959073067912, 0.2472135084084602,1.0,-8732.14300553185, -2830.4778791862664, 21513.735037701626, -76.60395507330415, 220.68240491708968, 37.91949323150527,1.0,769
11497.223,-0.34808289070528886, -1.927840602258545, -1.5725749314224764, -1.0846162119963587, 1.6384175077244245, 1.780060991820741,-0.7179476407763887, 0.27373309845991534, -0.4992835409330441, 0.3139707410602499, -0.03075057578461417, 0.24660514494127092,1.0,-8731.410454301084, -2830.639354822568, 21513.81515640187, -76.6039576126474, 220.69893206407892, 37.91913027534554,1.0,769
11497.231,-0.3508749666897444, -1.9267841451833299, -1.5745043293212095, -1.0834000176576009, 1.6382986243045154, 1.781016175586762,-0.721954139729766, 0.2710853163331729, -0.4957175433550229, 0.313230958697914, -0.030558146506750563, 0.24599116813600416,1.0,-8731.205283595054, -2830.5132575903517, 21514.405619583362, -76.61052668660281, 220.72030245445927, 37.91809636274263,1.0,769
11497.239,-0.35367280548724356, -1.9257416539408396, -1.5764131682227909, -1.082190923006353, 1.6381809036074986, 1.7819656560176687,-0.7259518838419877, 0.26840588976033397, -0.4921144515701624, 0.3124841286704045, -0.03036269438622185, 0.24537172486400669,1.0,-8731.238548242365, -2830.1439917906564, 21514.03413691432, -76.6223422284923, 220.70818972337196, 37.92541569467298,1.0,769
11497.247,-0.35647637511178587, -1.924713137927636, -1.5783014764519008, -1.0809888877932963, 1.6380643473858354, 1.782909466338475,-0.7299401614077543, 0.26569479397378176, -0.48847416006970457, 0.3117301295484101, -0.030164243778500487, 0.2447469650321545,1.0,-8730.784657468066, -2830.6353014675224, 21514.040961377832, -76.60029593626302, 220.75675029860383, 37.91602015812259,1.0,769
11497.255,-0.35928564304502864, -1.9236986065746535, -1.5801692817926911, -1.079793872283764, 1.6379489572648522, 1.783847640294797,-0.7339182521599488, 0.2629520140280741, -0.4847965733664643, 0.3109688397979273, -0.029962820260999015, 0.24411704158853378,1.0,-8731.406743632553, -2829.7479442548947, 21514.051282202297, -76.60832001041064, 220.72093753407313, 37.9184131858799,1.0,769
11497.262999999999,-0.3621005762364433, -1.9226980693365086, -1.5820166115002543, -1.078605837257049, 1.6378347347420055, 1.7847802121525511,-0.7378854275271075, 0.2601775450012355, -0.4810816062437675, 0.3102001378527446, -0.02975845064536806, 0.24348211052459273,1.0,-8731.526100398174, -2829.1725639631586, 21513.947302898538, -76.63710698102742, 220.70259638901246, 37.9129017909888,1.0,769
